Award_Status,Ceremony_Year,Session,Category,Nominee,Film,Role
Nominee,2016,89,ACTRESS IN A LEADING ROLE,Natalie Portman,Jackie,Jackie Kennedy
Winner,2016,89,ACTRESS IN A LEADING ROLE,Emma Stone,La La Land,Mia
Nominee,2016,89,ACTRESS IN A LEADING ROLE,Meryl Streep,Florence Foster Jenkins,Florence Foster Jenkins
Winner,2016,89,ACTRESS IN A SUPPORTING ROLE,Viola Davis,Fences,Rose Maxson
Nominee,2016,89,ACTRESS IN A SUPPORTING ROLE,Naomie Harris,Moonlight,Paula
Nominee,2016,89,ACTRESS IN A SUPPORTING ROLE,Nicole Kidman,Lion,Sue Brierley
Nominee,2016,89,ACTRESS IN A SUPPORTING ROLE,Octavia Spencer,Hidden Figures,Dorothy Vaughan
Nominee,2016,89,ACTRESS IN A SUPPORTING ROLE,Michelle Williams,Manchester by the Sea,Randi Chandler
Nominee,2016,89,DIRECTING,Arrival,NA,NA
Nominee,2016,89,DIRECTING,Hacksaw Ridge,NA,NA
Winner,2016,89,DIRECTING,La La Land,NA,NA
Nominee,2016,89,DIRECTING,Manchester by the Sea,NA,NA
Nominee,2016,89,DIRECTING,Moonlight,NA,NA
Nominee,2016,89,BEST PICTURE,Arrival,NA,NA
Nominee,2016,89,BEST PICTURE,Fences,NA,NA
Nominee,2016,89,BEST PICTURE,Hacksaw Ridge,NA,NA
Nominee,2016,89,BEST PICTURE,Hell or High Water,NA,NA
Nominee,2016,89,BEST PICTURE,Hidden Figures,NA,NA
Nominee,2016,89,BEST PICTURE,La La Land,NA,NA
Nominee,2016,89,BEST PICTURE,Lion,NA,NA
Nominee,2016,89,BEST PICTURE,Manchester by the Sea,NA,NA
Winner,2016,89,BEST PICTURE,Moonlight,NA,NA
Nominee,2017,90,ACTOR IN A LEADING ROLE,Timothée Chalamet,Call Me by Your Name,Elio
Nominee,2017,90,ACTOR IN A LEADING ROLE,Daniel Day,Phantom Thread,Reynolds Woodcock
Nominee,2017,90,ACTOR IN A LEADING ROLE,Daniel Kaluuya,Get Out,Chris Washington
Winner,2017,90,ACTOR IN A LEADING ROLE,Gary Oldman,Darkest Hour,Winston Churchill
Nominee,2017,90,ACTOR IN A LEADING ROLE,Denzel Washington,"Roman J. Israel, Esq.","Roman J. Israel, Esq."
Nominee,2017,90,ACTOR IN A SUPPORTING ROLE,Willem Dafoe,The Florida Project,Bobby
Nominee,2017,90,ACTOR IN A SUPPORTING ROLE,Woody Harrelson,"Three Billboards outside Ebbing, Missouri",Willoughby
Nominee,2017,90,ACTOR IN A SUPPORTING ROLE,Richard Jenkins,The Shape of Water,Giles
Nominee,2017,90,ACTOR IN A SUPPORTING ROLE,Christopher Plummer,All the Money in the World,J. Paul Getty
Winner,2017,90,ACTOR IN A SUPPORTING ROLE,Sam Rockwell,"Three Billboards outside Ebbing, Missouri",Dixon
Nominee,2017,90,ACTRESS IN A LEADING ROLE,Sally Hawkins,The Shape of Water,Elisa Esposito
Winner,2017,90,ACTRESS IN A LEADING ROLE,Frances McDormand,"Three Billboards outside Ebbing, Missouri",Mildred
Nominee,2017,90,ACTRESS IN A LEADING ROLE,Margot Robbie,"I, Tonya",Tonya Harding
Nominee,2017,90,ACTRESS IN A LEADING ROLE,Saoirse Ronan,Lady Bird,Lady Bird McPherson
Nominee,2017,90,ACTRESS IN A LEADING ROLE,Meryl Streep,The Post,Kay Graham
Nominee,2017,90,ACTRESS IN A SUPPORTING ROLE,Mary J. Blige,Mudbound,Florence Jackson
Winner,2017,90,ACTRESS IN A SUPPORTING ROLE,Allison Janney,"I, Tonya",LaVona
Nominee,2017,90,ACTRESS IN A SUPPORTING ROLE,Lesley Manville,Phantom Thread,Cyril
Nominee,2017,90,ACTRESS IN A SUPPORTING ROLE,Laurie Metcalf,Lady Bird,Marion McPherson
Nominee,2017,90,ACTRESS IN A SUPPORTING ROLE,Octavia Spencer,The Shape of Water,Zelda Fuller
Nominee,2017,90,DIRECTING,Dunkirk,NA,NA
Nominee,2017,90,DIRECTING,Get Out,NA,NA
Nominee,2017,90,DIRECTING,Lady Bird,NA,NA
Nominee,2017,90,DIRECTING,Phantom Thread,NA,NA
Winner,2017,90,DIRECTING,The Shape of Water,NA,NA
Nominee,2017,90,BEST PICTURE,Call Me by Your Name,NA,NA
Nominee,2017,90,BEST PICTURE,Darkest Hour,NA,NA
Nominee,2017,90,BEST PICTURE,Dunkirk,NA,NA
Nominee,2017,90,BEST PICTURE,Get Out,NA,NA
