"","Film","director","Actor","Award_Status","Ceremony_Year","Session","Category","Role","Status"
"1331","The Lord of the Rings: The Fellowship of the Ring","Peter Jackson","Andy Serkis",NA,NA,NA,NA,NA,"Non-Nominee"
"1332","The Lord of the Rings: The Return of the King","Peter Jackson","Elijah Wood",NA,NA,NA,NA,NA,"Non-Nominee"
"1333","The Lord of the Rings: The Return of the King","Peter Jackson","Ian McKellen",NA,NA,NA,NA,NA,"Non-Nominee"
"1334","The Lord of the Rings: The Return of the King","Peter Jackson","Viggo Mortensen",NA,NA,NA,NA,NA,"Non-Nominee"
"1335","The Lord of the Rings: The Return of the King","Peter Jackson","Sean Astin",NA,NA,NA,NA,NA,"Non-Nominee"
"1336","The Lord of the Rings: The Return of the King","Peter Jackson","Andy Serkis",NA,NA,NA,NA,NA,"Non-Nominee"
"1337","The Lord of the Rings: The Return of the King","Peter Jackson","Dominic Monaghan",NA,NA,NA,NA,NA,"Non-Nominee"
"1338","The Lord of the Rings: The Return of the King","Peter Jackson","Billy Boyd",NA,NA,NA,NA,NA,"Non-Nominee"
"1339","The Lord of the Rings: The Return of the King","Peter Jackson","John Noble",NA,NA,NA,NA,NA,"Non-Nominee"
"1340","The Lord of the Rings: The Return of the King","Peter Jackson","David Wenham",NA,NA,NA,NA,NA,"Non-Nominee"
"1341","The Lord of the Rings: The Return of the King","Peter Jackson","Miranda Otto",NA,NA,NA,NA,NA,"Non-Nominee"
"1342","The Lord of the Rings: The Return of the King","Peter Jackson","Bernard Hill",NA,NA,NA,NA,NA,"Non-Nominee"
"1343","The Lord of the Rings: The Return of the King","Peter Jackson","John Rhys-Davies",NA,NA,NA,NA,NA,"Non-Nominee"
"1344","The Lord of the Rings: The Return of the King","Peter Jackson","Orlando Bloom",NA,NA,NA,NA,NA,"Non-Nominee"
"1345","The Lord of the Rings: The Return of the King","Peter Jackson","Hugo Weaving",NA,NA,NA,NA,NA,"Non-Nominee"
"1346","The Lord of the Rings: The Return of the King","Peter Jackson","Liv Tyler",NA,NA,NA,NA,NA,"Non-Nominee"
"1347","The Lord of the Rings: The Two Towers","Peter Jackson","Elijah Wood",NA,NA,NA,NA,NA,"Non-Nominee"
"1348","The Lord of the Rings: The Two Towers","Peter Jackson","Ian McKellen",NA,NA,NA,NA,NA,"Non-Nominee"
"1349","The Lord of the Rings: The Two Towers","Peter Jackson","Viggo Mortensen",NA,NA,NA,NA,NA,"Non-Nominee"
"1350","The Lord of the Rings: The Two Towers","Peter Jackson","Sean Astin",NA,NA,NA,NA,NA,"Non-Nominee"
"1351","The Lord of the Rings: The Two Towers","Peter Jackson","Andy Serkis",NA,NA,NA,NA,NA,"Non-Nominee"
"1352","The Lord of the Rings: The Two Towers","Peter Jackson","John Rhys-Davies",NA,NA,NA,NA,NA,"Non-Nominee"
"1353","The Lord of the Rings: The Two Towers","Peter Jackson","Orlando Bloom",NA,NA,NA,NA,NA,"Non-Nominee"
"1354","The Lord of the Rings: The Two Towers","Peter Jackson","Bernard Hill",NA,NA,NA,NA,NA,"Non-Nominee"
"1355","The Lord of the Rings: The Two Towers","Peter Jackson","Miranda Otto",NA,NA,NA,NA,NA,"Non-Nominee"
"1356","The Lord of the Rings: The Two Towers","Peter Jackson","Dominic Monaghan",NA,NA,NA,NA,NA,"Non-Nominee"
"1357","The Lord of the Rings: The Two Towers","Peter Jackson","Billy Boyd",NA,NA,NA,NA,NA,"Non-Nominee"
"1358","The Lord of the Rings: The Two Towers","Peter Jackson","Christopher Lee",NA,NA,NA,NA,NA,"Non-Nominee"
"1359","The Lord of the Rings: The Two Towers","Peter Jackson","Cate Blanchett",NA,NA,NA,NA,NA,"Non-Nominee"
"1360","The Lord of the Rings: The Two Towers","Peter Jackson","Liv Tyler",NA,NA,NA,NA,NA,"Non-Nominee"
"1361","The Lord of the Rings: The Two Towers","Peter Jackson","Hugo Weaving",NA,NA,NA,NA,NA,"Non-Nominee"
"1362","The Lovely Bones","Peter Jackson","Saoirse Ronan",NA,NA,NA,NA,NA,"Non-Nominee"
"1363","The Lovely Bones","Peter Jackson","Mark Wahlberg",NA,NA,NA,NA,NA,"Non-Nominee"
"1364","The Lovely Bones","Peter Jackson","Rachel Weisz",NA,NA,NA,NA,NA,"Non-Nominee"
"1365","The Lovely Bones","Peter Jackson","Susan Sarandon",NA,NA,NA,NA,NA,"Non-Nominee"
"1366","The Lovely Bones","Peter Jackson","Stanley Tucci","Nominee","2009","82","ACTOR IN A SUPPORTING ROLE","George Harvey","Nominee"
"1367","The Lovely Bones","Peter Jackson","Rose McIver",NA,NA,NA,NA,NA,"Non-Nominee"
"1368","The Lovely Bones","Peter Jackson","Michael Imperioli",NA,NA,NA,NA,NA,"Non-Nominee"
"1369","The Lovely Bones","Peter Jackson","Carolyn Dando",NA,NA,NA,NA,NA,"Non-Nominee"
"1370","The Lovely Bones","Peter Jackson","Christian Ashdale",NA,NA,NA,NA,NA,"Non-Nominee"
"1371","The Lovely Bones","Peter Jackson","Reece Ritchie",NA,NA,NA,NA,NA,"Non-Nominee"
"1372","The Lovely Bones","Peter Jackson","Nikki SooHoo",NA,NA,NA,NA,NA,"Non-Nominee"
"1373","The Lovely Bones","Peter Jackson","Jake Abel",NA,NA,NA,NA,NA,"Non-Nominee"
"1374","The Lovely Bones","Peter Jackson","AJ Michalka",NA,NA,NA,NA,NA,"Non-Nominee"
"1375","The Lovely Bones","Peter Jackson","Tom McCarthy",NA,NA,NA,NA,NA,"Non-Nominee"
"1376","The Lovely Bones","Peter Jackson","Stink Fisher",NA,NA,NA,NA,NA,"Non-Nominee"
"1377","The Queen","Stephen Frears","Helen Mirren",NA,NA,NA,NA,NA,"Non-Nominee"
"1378","The Queen","Stephen Frears","Michael Sheen",NA,NA,NA,NA,NA,"Non-Nominee"
"1379","The Queen","Stephen Frears","James Cromwell",NA,NA,NA,NA,NA,"Non-Nominee"
"1380","The Queen","Stephen Frears","Helen McCrory",NA,NA,NA,NA,NA,"Non-Nominee"
"1381","The Queen","Stephen Frears","Alex Jennings",NA,NA,NA,NA,NA,"Non-Nominee"
"1382","The Queen","Stephen Frears","Roger Allam",NA,NA,NA,NA,NA,"Non-Nominee"
"1383","The Queen","Stephen Frears","Sylvia Syms",NA,NA,NA,NA,NA,"Non-Nominee"
"1384","The Queen","Stephen Frears","Paul Barrett",NA,NA,NA,NA,NA,"Non-Nominee"
"1385","The Queen","Stephen Frears","Tim McMullan",NA,NA,NA,NA,NA,"Non-Nominee"
"1386","The Queen","Stephen Frears","Douglas Reith",NA,NA,NA,NA,NA,"Non-Nominee"
"1387","The Queen","Stephen Frears","Mark Bazeley",NA,NA,NA,NA,NA,"Non-Nominee"
"1388","The Queen","Stephen Frears","Robin Soans",NA,NA,NA,NA,NA,"Non-Nominee"
"1389","The Queen","Stephen Frears","Lola Peploe",NA,NA,NA,NA,NA,"Non-Nominee"
"1390","The Queen","Stephen Frears","Joyce Henderson",NA,NA,NA,NA,NA,"Non-Nominee"
"1391","The Queen","Stephen Frears","Pat Laffan",NA,NA,NA,NA,NA,"Non-Nominee"
"1392","The Reader","Stephen Daldry","Ralph Fiennes",NA,NA,NA,NA,NA,"Non-Nominee"
"1393","The Reader","Stephen Daldry","Kate Winslet",NA,NA,NA,NA,NA,"Non-Nominee"
"1394","The Reader","Stephen Daldry","David Kross",NA,NA,NA,NA,NA,"Non-Nominee"
"1395","The Reader","Stephen Daldry","Lena Olin",NA,NA,NA,NA,NA,"Non-Nominee"
"1396","The Reader","Stephen Daldry","Bruno Ganz",NA,NA,NA,NA,NA,"Non-Nominee"
"1397","The Reader","Stephen Daldry","Jeanette Hain",NA,NA,NA,NA,NA,"Non-Nominee"
"1398","The Reader","Stephen Daldry","Hannah Herzsprung",NA,NA,NA,NA,NA,"Non-Nominee"
"1399","The Reader","Stephen Daldry","Karoline Herfurth",NA,NA,NA,NA,NA,"Non-Nominee"
"1400","The Reader","Stephen Daldry","Volker Bruch",NA,NA,NA,NA,NA,"Non-Nominee"
"1401","The Reader","Stephen Daldry","Alexandra Maria Lara",NA,NA,NA,NA,NA,"Non-Nominee"
"1402","The Reader","Stephen Daldry","Fabian Busch",NA,NA,NA,NA,NA,"Non-Nominee"
"1403","The Reader","Stephen Daldry","Vijessna Ferkic",NA,NA,NA,NA,NA,"Non-Nominee"
"1404","The Reader","Stephen Daldry","Susanne Lothar",NA,NA,NA,NA,NA,"Non-Nominee"
"1405","The Reader","Stephen Daldry","Matthias Habich",NA,NA,NA,NA,NA,"Non-Nominee"
"1406","The Reader","Stephen Daldry","Burghart Klaußner",NA,NA,NA,NA,NA,"Non-Nominee"
"1407","The Wrestler","Darren Aronofsky","Mickey Rourke","Nominee","2008","81","ACTOR IN A LEADING ROLE","Randy","Nominee"
"1408","The Wrestler","Darren Aronofsky","Marisa Tomei","Nominee","2008","81","ACTRESS IN A SUPPORTING ROLE","Cassidy","Nominee"
"1409","The Wrestler","Darren Aronofsky","Evan Rachel Wood",NA,NA,NA,NA,NA,"Non-Nominee"
"1410","The Wrestler","Darren Aronofsky","Mark Margolis",NA,NA,NA,NA,NA,"Non-Nominee"
"1411","The Wrestler","Darren Aronofsky","Todd Barry",NA,NA,NA,NA,NA,"Non-Nominee"
"1412","The Wrestler","Darren Aronofsky","Wass Stevens",NA,NA,NA,NA,NA,"Non-Nominee"
"1413","The Wrestler","Darren Aronofsky","Judah Friedlander",NA,NA,NA,NA,NA,"Non-Nominee"
"1414","The Wrestler","Darren Aronofsky","Ernest Miller",NA,NA,NA,NA,NA,"Non-Nominee"
"1415","The Wrestler","Darren Aronofsky","Dylan Keith Summers",NA,NA,NA,NA,NA,"Non-Nominee"
"1416","The Wrestler","Darren Aronofsky","Tommy Farra",NA,NA,NA,NA,NA,"Non-Nominee"
"1417","The Wrestler","Darren Aronofsky","Mike Miller",NA,NA,NA,NA,NA,"Non-Nominee"
"1418","The Wrestler","Darren Aronofsky","Marcia Jean Kurtz",NA,NA,NA,NA,NA,"Non-Nominee"
"1419","The Wrestler","Darren Aronofsky","John D'Leo",NA,NA,NA,NA,NA,"Non-Nominee"
"1420","The Wrestler","Darren Aronofsky","Ajay Naidu",NA,NA,NA,NA,NA,"Non-Nominee"
"1421","The Wrestler","Darren Aronofsky","Gregg Bello",NA,NA,NA,NA,NA,"Non-Nominee"
"1422","There Will Be Blood","Paul Thomas Anderson","Daniel Day-Lewis",NA,NA,NA,NA,NA,"Non-Nominee"
"1423","There Will Be Blood","Paul Thomas Anderson","Paul Dano",NA,NA,NA,NA,NA,"Non-Nominee"
"1424","There Will Be Blood","Paul Thomas Anderson","Kevin J. O'Connor",NA,NA,NA,NA,NA,"Non-Nominee"
"1425","There Will Be Blood","Paul Thomas Anderson","Ciarán Hinds",NA,NA,NA,NA,NA,"Non-Nominee"
"1426","There Will Be Blood","Paul Thomas Anderson","Dillon Freasier",NA,NA,NA,NA,NA,"Non-Nominee"
"1427","There Will Be Blood","Paul Thomas Anderson","Hope Elizabeth Reeves",NA,NA,NA,NA,NA,"Non-Nominee"
"1428","There Will Be Blood","Paul Thomas Anderson","Colleen Foy",NA,NA,NA,NA,NA,"Non-Nominee"
"1429","There Will Be Blood","Paul Thomas Anderson","Barry Del Sherman",NA,NA,NA,NA,NA,"Non-Nominee"
"1430","There Will Be Blood","Paul Thomas Anderson","David Willis",NA,NA,NA,NA,NA,"Non-Nominee"
"1431","There Will Be Blood","Paul Thomas Anderson","Hans Howes",NA,NA,NA,NA,NA,"Non-Nominee"
"1432","There Will Be Blood","Paul Thomas Anderson","Sydney McCallister",NA,NA,NA,NA,NA,"Non-Nominee"
"1433","There Will Be Blood","Paul Thomas Anderson","Paul F. Tompkins",NA,NA,NA,NA,NA,"Non-Nominee"
"1434","There Will Be Blood","Paul Thomas Anderson","Kevin Breznahan",NA,NA,NA,NA,NA,"Non-Nominee"
"1435","There Will Be Blood","Paul Thomas Anderson","Jim Meskimen",NA,NA,NA,NA,NA,"Non-Nominee"
"1436","There Will Be Blood","Paul Thomas Anderson","Erica Sullivan",NA,NA,NA,NA,NA,"Non-Nominee"
"1437","Vicky Cristina Barcelona","Woody Allen","Scarlett Johansson",NA,NA,NA,NA,NA,"Non-Nominee"
"1438","Vicky Cristina Barcelona","Woody Allen","Rebecca Hall",NA,NA,NA,NA,NA,"Non-Nominee"
"1439","Vicky Cristina Barcelona","Woody Allen","Javier Bardem",NA,NA,NA,NA,NA,"Non-Nominee"
"1440","Vicky Cristina Barcelona","Woody Allen","Penélope Cruz","Winner","2008","81","ACTRESS IN A SUPPORTING ROLE","Maria Elena","Winner"
"1441","Vicky Cristina Barcelona","Woody Allen","Christopher Evan Welch",NA,NA,NA,NA,NA,"Non-Nominee"
"1442","Vicky Cristina Barcelona","Woody Allen","Chris Messina",NA,NA,NA,NA,NA,"Non-Nominee"
"1443","Vicky Cristina Barcelona","Woody Allen","Patricia Clarkson",NA,NA,NA,NA,NA,"Non-Nominee"
"1444","Vicky Cristina Barcelona","Woody Allen","Kevin Dunn",NA,NA,NA,NA,NA,"Non-Nominee"
"1445","Vicky Cristina Barcelona","Woody Allen","Julio Perillán",NA,NA,NA,NA,NA,"Non-Nominee"
"1446","Vicky Cristina Barcelona","Woody Allen","Ricard Salom",NA,NA,NA,NA,NA,"Non-Nominee"
"1447","Vicky Cristina Barcelona","Woody Allen","Maurice Sonnenberg",NA,NA,NA,NA,NA,"Non-Nominee"
"1448","Vicky Cristina Barcelona","Woody Allen","Manel Barceló",NA,NA,NA,NA,NA,"Non-Nominee"
"1449","Vicky Cristina Barcelona","Woody Allen","Josep Maria Domènech",NA,NA,NA,NA,NA,"Non-Nominee"
"1450","Vicky Cristina Barcelona","Woody Allen","Emilio de Benito",NA,NA,NA,NA,NA,"Non-Nominee"
"1451","Vicky Cristina Barcelona","Woody Allen","Jaume Montané",NA,NA,NA,NA,NA,"Non-Nominee"
"1452","Volver","Pedro Almodóvar","Penélope Cruz",NA,NA,NA,NA,NA,"Non-Nominee"
"1453","Volver","Pedro Almodóvar","Carmen Maura",NA,NA,NA,NA,NA,"Non-Nominee"
"1454","Volver","Pedro Almodóvar","Lola Dueñas",NA,NA,NA,NA,NA,"Non-Nominee"
"1455","Volver","Pedro Almodóvar","Blanca Portillo",NA,NA,NA,NA,NA,"Non-Nominee"
"1456","Volver","Pedro Almodóvar","Yohana Cobo",NA,NA,NA,NA,NA,"Non-Nominee"
"1457","Volver","Pedro Almodóvar","Chus Lampreave",NA,NA,NA,NA,NA,"Non-Nominee"
"1458","Volver","Pedro Almodóvar","Antonio de la Torre",NA,NA,NA,NA,NA,"Non-Nominee"
"1459","Volver","Pedro Almodóvar","Carlos Blanco",NA,NA,NA,NA,NA,"Non-Nominee"
"1460","Volver","Pedro Almodóvar","María Isabel Díaz Lago",NA,NA,NA,NA,NA,"Non-Nominee"
"1461","Volver","Pedro Almodóvar","Neus Sanz",NA,NA,NA,NA,NA,"Non-Nominee"
"1462","Volver","Pedro Almodóvar","Leandro Rivera",NA,NA,NA,NA,NA,"Non-Nominee"
"1463","Volver","Pedro Almodóvar","Pepa Aniorte",NA,NA,NA,NA,NA,"Non-Nominee"
"1464","Volver","Pedro Almodóvar","Yolanda Ramos",NA,NA,NA,NA,NA,"Non-Nominee"
"1465","Volver","Pedro Almodóvar","Elvira Cuadrupani",NA,NA,NA,NA,NA,"Non-Nominee"
"1466","Volver","Pedro Almodóvar","María Alfonsa Rosso",NA,NA,NA,NA,NA,"Non-Nominee"
"1467","Walk the Line","James Mangold","Joaquin Phoenix","Nominee","2005","78","ACTOR IN A LEADING ROLE","John R. Cash","Nominee"
"1468","Walk the Line","James Mangold","Reese Witherspoon",NA,NA,NA,NA,NA,"Non-Nominee"
"1469","Walk the Line","James Mangold","Ginnifer Goodwin",NA,NA,NA,NA,NA,"Non-Nominee"
"1470","Walk the Line","James Mangold","Robert Patrick",NA,NA,NA,NA,NA,"Non-Nominee"
"1471","Walk the Line","James Mangold","Dallas Roberts",NA,NA,NA,NA,NA,"Non-Nominee"
"1472","Walk the Line","James Mangold","Dan John Miller",NA,NA,NA,NA,NA,"Non-Nominee"
"1473","Walk the Line","James Mangold","Larry Bagby",NA,NA,NA,NA,NA,"Non-Nominee"
"1474","Walk the Line","James Mangold","Shelby Lynne",NA,NA,NA,NA,NA,"Non-Nominee"
"1475","Walk the Line","James Mangold","Tyler Hilton",NA,NA,NA,NA,NA,"Non-Nominee"
"1476","Walk the Line","James Mangold","Waylon Payne",NA,NA,NA,NA,NA,"Non-Nominee"
"1477","Walk the Line","James Mangold","Shooter Jennings",NA,NA,NA,NA,NA,"Non-Nominee"
"1478","Walk the Line","James Mangold","Sandra Ellis Lafferty",NA,NA,NA,NA,NA,"Non-Nominee"
"1479","Walk the Line","James Mangold","Dan Beene",NA,NA,NA,NA,NA,"Non-Nominee"
"1480","Walk the Line","James Mangold","Clay Steakley",NA,NA,NA,NA,NA,"Non-Nominee"
"1481","Walk the Line","James Mangold","Johnathan Rice",NA,NA,NA,NA,NA,"Non-Nominee"
