Nominee,"Reese Witherspoon -- Wild {""Cheryl""}"
NA,ACTRESS IN A SUPPORTING ROLE
Winner,"Patricia Arquette -- Boyhood {""Mom""}"
Nominee,"Laura Dern -- Wild {""Bobbi""}"
Nominee,"Keira Knightley -- The Imitation Game {""Joan Clarke""}"
Nominee,"Emma Stone -- Birdman or (The Unexpected Virtue of Ignorance) {""Sam""}"
Nominee,"Meryl Streep -- Into the Woods {""Witch""}"
NA,DIRECTING
Winner,Birdman or (The Unexpected Virtue of Ignorance) -- Alejandro G. Iñárritu
Nominee,Boyhood -- Richard Linklater
Nominee,Foxcatcher -- Bennett Miller
Nominee,The Grand Budapest Hotel -- Wes Anderson
Nominee,The Imitation Game -- Morten Tyldum
NA,BEST PICTURE
Nominee,"American Sniper -- Clint Eastwood, Robert Lorenz, Andrew Lazar, Bradley Cooper and Peter Morgan, Producers"
Winner,"Birdman or (The Unexpected Virtue of Ignorance) -- Alejandro G. Iñárritu, John Lesher and James W. Skotchdopole, Producers"
Nominee,"Boyhood -- Richard Linklater and Cathleen Sutherland, Producers"
Nominee,"The Grand Budapest Hotel -- Wes Anderson, Scott Rudin, Steven Rales and Jeremy Dawson, Producers"
Nominee,"The Imitation Game -- Nora Grossman, Ido Ostrowsky and Teddy Schwarzman, Producers"
Nominee,"Selma -- Christian Colson, Oprah Winfrey, Dede Gardner and Jeremy Kleiner, Producers"
Nominee,"The Theory of Everything -- Tim Bevan, Eric Fellner, Lisa Bruce and Anthony McCarten, Producers"
Nominee,"Whiplash -- Jason Blum, Helen Estabrook and David Lancaster, Producers"
NA,2015 (88th)
NA,ACTOR IN A LEADING ROLE
Nominee,"Bryan Cranston -- Trumbo {""Dalton Trumbo""}"
Nominee,"Matt Damon -- The Martian {""Mark Watney""}"
Winner,"Leonardo DiCaprio -- The Revenant {""Hugh Glass""}"
Nominee,"Michael Fassbender -- Steve Jobs {""Steve Jobs""}"
Nominee,"Eddie Redmayne -- The Danish Girl {""Lili""}"
NA,ACTOR IN A SUPPORTING ROLE
Nominee,"Christian Bale -- The Big Short {""Michael Burry""}"
Nominee,"Tom Hardy -- The Revenant {""John Fitzgerald""}"
Nominee,"Mark Ruffalo -- Spotlight {""Mike Rezendes""}"
Winner,"Mark Rylance -- Bridge of Spies {""Rudolf Abel""}"
Nominee,"Sylvester Stallone -- Creed {""Rocky Balboa""}"
NA,ACTRESS IN A LEADING ROLE
Nominee,"Cate Blanchett -- Carol {""Carol Aird""}"
Winner,"Brie Larson -- Room {""Ma""}"
Nominee,"Jennifer Lawrence -- Joy {""Joy""}"
Nominee,"Charlotte Rampling -- 45 Years {""Kate Mercer""}"
Nominee,"Saoirse Ronan -- Brooklyn {""Eilis""}"
NA,ACTRESS IN A SUPPORTING ROLE
Nominee,"Jennifer Jason Leigh -- The Hateful Eight {""Daisy Domergue""}"
Nominee,"Rooney Mara -- Carol {""Therese Belivet""}"
Nominee,"Rachel McAdams -- Spotlight {""Sacha Pfeiffer""}"
Winner,"Alicia Vikander -- The Danish Girl {""Gerda""}"
Nominee,"Kate Winslet -- Steve Jobs {""Joanna Hoffman""}"
NA,DIRECTING
Nominee,The Big Short -- Adam McKay
Nominee,Mad Max: Fury Road -- George Miller
Winner,The Revenant -- Alejandro G. Iñárritu
Nominee,Room -- Lenny Abrahamson
Nominee,Spotlight -- Tom McCarthy
NA,BEST PICTURE
Nominee,"The Big Short -- Brad Pitt, Dede Gardner and Jeremy Kleiner, Producers"
Nominee,"Bridge of Spies -- Steven Spielberg, Marc Platt and Kristie Macosko Krieger, Producers"
Nominee,"Brooklyn -- Finola Dwyer and Amanda Posey, Producers"
Nominee,"Mad Max: Fury Road -- Doug Mitchell and George Miller, Producers"
Nominee,"The Martian -- Simon Kinberg, Ridley Scott, Michael Schaefer and Mark Huffam, Producers"
Nominee,"The Revenant -- Arnon Milchan, Steve Golin, Alejandro G. Iñárritu, Mary Parent and Keith Redmon, Producers"
Nominee,"Room -- Ed Guiney, Producer"
Winner,"Spotlight -- Michael Sugar, Steve Golin, Nicole Rocklin and Blye Pagon Faust, Producers"
NA,2016 (89th)
NA,ACTOR IN A LEADING ROLE
Winner,"Casey Affleck -- Manchester by the Sea {""Lee Chandler""}"
Nominee,"Andrew Garfield -- Hacksaw Ridge {""Desmond Doss""}"
Nominee,"Ryan Gosling -- La La Land {""Sebastian""}"
Nominee,"Viggo Mortensen -- Captain Fantastic {""Ben""}"
Nominee,"Denzel Washington -- Fences {""Troy Maxson""}"
NA,ACTOR IN A SUPPORTING ROLE
Winner,"Mahershala Ali -- Moonlight {""Juan""}"
Nominee,"Jeff Bridges -- Hell or High Water {""Marcus Hamilton""}"
Nominee,"Lucas Hedges -- Manchester by the Sea {""Patrick Chandler""}"
Nominee,"Dev Patel -- Lion {""Saroo Brierley""}"
Nominee,"Michael Shannon -- Nocturnal Animals {""Bobby Andes""}"
NA,ACTRESS IN A LEADING ROLE
Nominee,"Isabelle Huppert -- Elle {""Michèle""}"
Nominee,"Ruth Negga -- Loving {""Mildred""}"
Nominee,"Natalie Portman -- Jackie {""Jackie Kennedy""}"
Winner,"Emma Stone -- La La Land {""Mia""}"
Nominee,"Meryl Streep -- Florence Foster Jenkins {""Florence Foster Jenkins""}"
NA,ACTRESS IN A SUPPORTING ROLE
Winner,"Viola Davis -- Fences {""Rose Maxson""}"
Nominee,"Naomie Harris -- Moonlight {""Paula""}"
Nominee,"Nicole Kidman -- Lion {""Sue Brierley""}"
Nominee,"Octavia Spencer -- Hidden Figures {""Dorothy Vaughan""}"
Nominee,"Michelle Williams -- Manchester by the Sea {""Randi Chandler""}"
NA,DIRECTING
Nominee,Arrival -- Denis Villeneuve
Nominee,Hacksaw Ridge -- Mel Gibson
Winner,La La Land -- Damien Chazelle
Nominee,Manchester by the Sea -- Kenneth Lonergan
Nominee,Moonlight -- Barry Jenkins
NA,BEST PICTURE
Nominee,"Arrival -- Shawn Levy, Dan Levine, Aaron Ryder and David Linde, Producers"
Nominee,"Fences -- Scott Rudin, Denzel Washington and Todd Black, Producers"
Nominee,"Hacksaw Ridge -- Bill Mechanic and David Permut, Producers"
Nominee,"Hell or High Water -- Carla Hacken and Julie Yorn, Producers"
Nominee,"Hidden Figures -- Donna Gigliotti, Peter Chernin, Jenno Topping, Pharrell Williams and Theodore Melfi, Producers"
Nominee,"La La Land -- Fred Berger, Jordan Horowitz and Marc Platt, Producers"
Nominee,"Lion -- Emile Sherman, Iain Canning and Angie Fielder, Producers"
Nominee,"Manchester by the Sea -- Matt Damon, Kimberly Steward, Chris Moore, Lauren Beck and Kevin J. Walsh, Producers"
Winner,"Moonlight -- Adele Romanski, Dede Gardner and Jeremy Kleiner, Producers"
NA,2017 (90th)
NA,ACTOR IN A LEADING ROLE
Nominee,"Timothée Chalamet -- Call Me by Your Name {""Elio""}"
Nominee,"Daniel Day-Lewis -- Phantom Thread {""Reynolds Woodcock""}"
Nominee,"Daniel Kaluuya -- Get Out {""Chris Washington""}"
Winner,"Gary Oldman -- Darkest Hour {""Winston Churchill""}"
Nominee,"Denzel Washington -- Roman J. Israel, Esq. {""Roman J. Israel, Esq.""}"
NA,ACTOR IN A SUPPORTING ROLE
Nominee,"Willem Dafoe -- The Florida Project {""Bobby""}"
Nominee,"Woody Harrelson -- Three Billboards outside Ebbing, Missouri {""Willoughby""}"
Nominee,"Richard Jenkins -- The Shape of Water {""Giles""}"
Nominee,"Christopher Plummer -- All the Money in the World {""J. Paul Getty""}"
Winner,"Sam Rockwell -- Three Billboards outside Ebbing, Missouri {""Dixon""}"
NA,ACTRESS IN A LEADING ROLE
Nominee,"Sally Hawkins -- The Shape of Water {""Elisa Esposito""}"
Winner,"Frances McDormand -- Three Billboards outside Ebbing, Missouri {""Mildred""}"
Nominee,"Margot Robbie -- I, Tonya {""Tonya Harding""}"
Nominee,"Saoirse Ronan -- Lady Bird {""Lady Bird McPherson""}"
Nominee,"Meryl Streep -- The Post {""Kay Graham""}"
NA,ACTRESS IN A SUPPORTING ROLE
Nominee,"Mary J. Blige -- Mudbound {""Florence Jackson""}"
Winner,"Allison Janney -- I, Tonya {""LaVona""}"
Nominee,"Lesley Manville -- Phantom Thread {""Cyril""}"
Nominee,"Laurie Metcalf -- Lady Bird {""Marion McPherson""}"
Nominee,"Octavia Spencer -- The Shape of Water {""Zelda Fuller""}"
NA,DIRECTING
Nominee,Dunkirk -- Christopher Nolan
Nominee,Get Out -- Jordan Peele
Nominee,Lady Bird -- Greta Gerwig
Nominee,Phantom Thread -- Paul Thomas Anderson
Winner,The Shape of Water -- Guillermo del Toro
NA,BEST PICTURE
Nominee,"Call Me by Your Name -- Peter Spears, Luca Guadagnino, Emilie Georges and Marco Morabito, Producers"
