tmdb_id,title,director,genres,release_date,budget,Cast 1,Cast 2,Cast 3,Cast 4,Cast 5,Cast 6,Cast 7,Cast 8,Cast 9,Cast 10,Cast 11,Cast 12,Cast 13,Cast 14,Cast 15
641,Requiem for a Dream,Darren Aronofsky,"Crime, Drama",2000-10-06,4500000,Ellen Burstyn,Jared Leto,Jennifer Connelly,Marlon Wayans,Christopher McDonald,Louise Lasser,Marcia Jean Kurtz,Janet Sarno,Suzanne Shepherd,Joanne Gordon,Charlotte Aronofsky,Mark Margolis,Michael Kaycheck,Jack A. O'Connell,Chas Mastin
4148,Revolutionary Road,Sam Mendes,"Drama, Romance",2008-12-19,35000000,Leonardo DiCaprio,Kate Winslet,Kathy Bates,Michael Shannon,Kathryn Hahn,David Harbour,Dylan Baker,Richard Easton,Zoe Kazan,Jay O. Sanders,Max Baker,Max Casella,Christopher Fitzgerald,Jonathan Roumie,Neal Bledsoe
4147,Road to Perdition,Sam Mendes,"Crime, Drama, Thriller",2002-07-12,80000000,Tom Hanks,Paul Newman,Jude Law,Tyler Hoechlin,Daniel Craig,Stanley Tucci,Jennifer Jason Leigh,Liam Aiken,Dylan Baker,Ciarán Hinds,David Darlow,Kevin Chamberlin,Doug Spinuzza,Kurt Naebig,Duane Sharp
857,Saving Private Ryan,Steven Spielberg,"War, Drama, History",1998-07-24,70000000,Tom Hanks,Tom Sizemore,Edward Burns,Barry Pepper,Adam Goldberg,Vin Diesel,Giovanni Ribisi,Jeremy Davies,Matt Damon,Ted Danson,Paul Giamatti,Dennis Farina,Joerg Stadler,Max Martini,Dylan Bruno
4464,Seabiscuit,Gary Ross,"Drama, History",2003-07-22,87000000,Tobey Maguire,David McCullough,Jeff Bridges,Chris Cooper,Elizabeth Banks,Gary L. Stevens,Eddie Jones,William H. Macy,Royce D. Applegate,Chris McCarron,Michael Ensign,Jesse Hernandez,Paul Vincent O'Connor,Ed Lauter,Michael O'Neill
11159,Secrets & Lies,Mike Leigh,Drama,1996-05-24,4500000,Brenda Blethyn,Marianne Jean-Baptiste,Timothy Spall,Phyllis Logan,Claire Rushbrook,Lee Ross,Lesley Manville,Elizabeth Berrington,Michele Austin,Ron Cook,Trevor Laird,Brian Bovell,Emma Amos,Clare Perkins,Elias Perkins McCook
11826,Sexy Beast,Jonathan Glazer,"Crime, Thriller, Drama",2001-01-12,5000000,Ray Winstone,Ben Kingsley,Ian McShane,Amanda Redman,James Fox,Cavan Kendall,Julianne White,Álvaro Monje,Robert Atiko,Nieves del Amo Oruet,Enrique Alemán Fabrega,Gérard Barray,José Maria Cano Ramos,Desirée Erasmus,Santiago Frías Muñoz
10873,Shadow of the Vampire,E. Elias Merhige,"Drama, Horror",2000-08-30,8000000,John Malkovich,Willem Dafoe,Udo Kier,Cary Elwes,Catherine McCormack,Eddie Izzard,Aden Gillett,Nicholas Elliott,Ronan Vibert,Sophie Langevin,Myriam Muller,Miloš Hlaváč,Marja-Leena Junker,Derek Kueter,Norman Golightly
1934,Shakespeare in Love,John Madden,"Romance, History, Comedy",1998-12-11,25000000,Joseph Fiennes,Gwyneth Paltrow,Geoffrey Rush,Tom Wilkinson,Judi Dench,Imelda Staunton,Colin Firth,Ben Affleck,Simon Callow,Steven Beard,Jim Carter,Rupert Everett,Martin Clunes,Tim McMullan,Joe Roberts
7863,Shine,Scott Hicks,Drama,1996-08-15,5500000,Geoffrey Rush,Noah Taylor,Armin Mueller-Stahl,Lynn Redgrave,Googie Withers,Sonia Todd,Nicholas Bell,John Gielgud,Justin Braine,Chris Haywood,Alex Rafalowicz,Gordon Poole,Danielle Cox,Rebecca Gooden,Marta Kaczmarek
9675,Sideways,Alexander Payne,"Comedy, Drama, Romance",2004-10-22,16000000,Paul Giamatti,Thomas Haden Church,Virginia Madsen,Sandra Oh,Marylouise Burke,Jessica Hecht,Missy Doty,M.C. Gainey,Alysia Reiner,Shake Tukhmanyan,Shaun Duke,Robert Covarrubias,Patrick Gallagher,Stephanie Faracy,Joe Marinelli
